1770	1060
1870	1050
1980	1050
2085	1050
2195	1050
2300	1050
2400	1050
2495	1050
2600	1050
1770	1165
1870	1165
1970	1165
2085	1170
2190	1170
2290	1160
2395	1170
2500	1165
2600	1155
1770	1280
1875	1275
1980	1270
2090	1275
2195	1270
2290	1270
2400	1275
2495	1275
2605	1275
1760	1395
1865	1395
1985	1395
2090	1390
2190	1390
2290	1390
2395	1385
2495	1375
2600	1380
1765	1510
1875	1510
1980	1500
2095	1505
2190	1500
2300	1490
2400	1490
2490	1495
2600	1490
1770	1625
1875	1615
1980	1620
2085	1605
2195	1615
2300	1600
2400	1600
2495	1605
2595	1595
